période,champ.,marché,source,n,brier,ece,taux_reel,p_moyenne
2019-2026,extra,dom_over_1.5,implicite 1X2,28869,0.22507837956677262,0.017218291347729443,0.43323287955938894,0.4161335309268931
2019-2026,extra,dom_over_1.5,Dixon-Coles,28869,0.23233703549427925,0.017766578067689002,0.43323287955938894,0.42230336590393996
2019-2026,extra,ext_over_0.5,implicite 1X2,28869,0.20688350281805645,0.02793174246196511,0.6866535037583568,0.6587217612963916
2019-2026,extra,ext_over_0.5,Dixon-Coles,28869,0.21050102629018183,0.02480309963547903,0.6866535037583568,0.6665432353360674
2019-2026,extra,ext_over_1.5,implicite 1X2,28869,0.20590329910673685,0.01938282481608054,0.32689043610793583,0.30935010093535753
2019-2026,extra,ext_over_1.5,Dixon-Coles,28869,0.21115850751685286,0.01973184287692594,0.32689043610793583,0.3169276795066288
2019-2026,extra,btts_oui,implicite 1X2,28869,0.2467527196174479,0.0391608937737354,0.5295299456164051,0.4903690518426697
2019-2026,extra,btts_oui,Dixon-Coles,28869,0.24847681282482667,0.03536168810037427,0.5295299456164051,0.5014421470116037
2019-2026,majeurs,total_over_1.5,implicite 1X2,43279,0.1867408271932784,0.028540720586839846,0.7444257029968345,0.7167148978385107
2019-2026,majeurs,total_over_1.5,implicite 1X2+O/U,43204,0.1852205629114622,0.006823995873454719,0.7441440607351171,0.7481275003280834
2019-2026,majeurs,total_over_1.5,Dixon-Coles,43279,0.18839536843848506,0.02113870890714459,0.7444257029968345,0.734587143546778
2019-2026,majeurs,total_over_2.5,marché (over/under coté),43204,0.2402496054252986,0.007434580214547871,0.49835663364503285,0.49562572250256226
2019-2026,majeurs,total_over_2.5,implicite 1X2,43279,0.2425661483078173,0.03660426016324937,0.49878694054853395,0.46343522563901235
2019-2026,majeurs,total_over_2.5,implicite 1X2+O/U,43204,0.24024896947698623,0.007268812558568178,0.49835663364503285,0.49561410098970976
2019-2026,majeurs,total_over_2.5,Dixon-Coles,43279,0.24613428241028407,0.025297773398310824,0.49878694054853395,0.48545888033032586
2019-2026,majeurs,total_over_3.5,implicite 1X2,43279,0.19491941569161914,0.0259890343687313,0.2789112502599413,0.2568966362310443
2019-2026,majeurs,total_over_3.5,implicite 1X2+O/U,43204,0.19306813778195445,0.007035498632983377,0.2784695861494306,0.28266230042130835
2019-2026,majeurs,total_over_3.5,Dixon-Coles,43279,0.19771583311174384,0.022683847907497813,0.2789112502599413,0.274750119004449
2019-2026,majeurs,dom_over_0.5,implicite 1X2,43279,0.1725917246942324,0.02776895822944377,0.7614778530003004,0.7337088947708567
2019-2026,majeurs,dom_over_0.5,implicite 1X2+O/U,43204,0.17173849769398117,0.00981794145458426,0.761248958429775,0.7514771757549443
2019-2026,majeurs,dom_over_0.5,Dixon-Coles,43279,0.17564153171931632,0.013903484905177097,0.7614778530003004,0.748354089758145
2019-2026,majeurs,dom_over_1.5,implicite 1X2,43279,0.22303561436689706,0.020586576768385375,0.4239469488666559,0.4033603720982705
2019-2026,majeurs,dom_over_1.5,implicite 1X2+O/U,43204,0.2222768360293297,0.007205846893659304,0.4234793074715304,0.4257865446163606
2019-2026,majeurs,dom_over_1.5,Dixon-Coles,43279,0.22955551345165887,0.012768582895636715,0.4239469488666559,0.4190689746911819
2019-2026,majeurs,ext_over_0.5,implicite 1X2,43279,0.2057331821661286,0.03191339130648762,0.6858522609117585,0.653938869605271
2019-2026,majeurs,ext_over_0.5,implicite 1X2+O/U,43204,0.20416799563104235,0.012398100724139148,0.6858624201462827,0.6741062906056172
